FirstName,SecondName,ThirdName,LastName,IndividualAlias
Dmitrii,,,KARASAVIDI,Dmitriy KARASAVIDI 
Danil,,,POTEKHIN," cronuswar ,  SERGEY  Kireev Valerievich "
Alireza,,,AMIN,
Zuoyou,,,LIN,
Min,,,SHI,
Yasser Hussein,,,IBRAHIM,"Yasar IBRAHIM , Yassar IBRAHIM "
Fadi,,,SAQR,"Fady SAKR , Fadi SAQER , Fadi SAQIR , Fadi SAKIR "
Ghaith,,,DALAH,"Gaith DALLAH , Ghayth DALA , Ghiath DALA "
Samer,,,ISMAIL,
Mohamad Ammar,,,SAATI BIN MOHAMAD NAWZAD,"Ammar AL-SAATI , Ammar SAATI , Mohammad Ammar SAATI , Mohamed Ammar SAATI , Mohamed Ammar SA'ATI , Mohammed Ammar SA'ATI , Mohammad Ammar SA'ATI , Mohammed Ammar SAATI , Amar SAATI , Muhammed Ammar SAATI "
Luna,,,AL SHIBL,"Luna AL-SHIBL , Luna SHIBL , Luna CHEBEL , Luna ALSHEBEL , Luna AL SHEBEL , Luna AL CHEBEL , Luna AL SHIBIL , Luna AL CHEBIL , Luna AL SHEBIL "
Pezhman,,,RAHIMIAN,Pejman RAHIMIAN 
Behrouz,,,KAMALVANDI,
Javad,,,KARIMI SABET,Javad KARIMI-SABET 
Amin,,,MAHDAVI,
Andrii Leonidovych,,,DERKACH,"Andriy DERKACH , Andriy Leonidovych DERKACH "
Jose Luis,,,GUTIERREZ PARRA,
Indira Maira,,,ALFONZO IZAGUIRRE,
Reinaldo Enrique,,,MUNOZ PEDROZA,
Kudakwashe Regimond,,,TAGWIREI,Kuda TAGWIREI 
Faruq,,,HAMUD,
Jiarui,,,PENG,
Jinlong,,,SUN,
Zuhair Tawfik,,,AL-ASSAD,"Zuheir Tawfiq AL-ASSAD , Zuhair Tawfiq AL-ASSAD , Zuhair ASSAD "
Karam,,,AL-ASSAD,Karam ASSAD 
Hafez,,,AL-ASSAD,Hafez ASSAD 
Wassim Anwar,,,AL-QATTAN,"Wassim Anouar AL-KATAN , Waseem QATTAN , Waseem AL-KATTAN , Wasim QATTAN , Wasseem AL-KATTAN , Waseem AL-QATAN "
Huining,,,LUO,
Baolong,,,XIA,
Yanxiong,,,ZHENG,
Eric,,,CHAN,"Kwok-ki CHAN , Eric Kwok-ki CHAN "
Xiaoming,,,ZHANG,
John Ka-chiu,,,LEE,"John LEE , Ka Chiu LEE ,  LI  Jiachao "
Carrie,,,LAM,"Yuet-ngor LAM CHENG , Carrie Yuet-ngor LAM CHENG "
Erick,,,TSANG,"Kwok-wai TSANG , Erick Kwok-wai TSANG , Guowei CENG , Guowei ZENG "
Stephen,,,LO,"Wai-chung LO , Stephen Wai-chung LO "
Teresa,,,CHENG,"Yeuk Wah CHENG , Teresa Yeuk-wah CHENG "
Chris,,,TANG,Ping-keung TANG 
David Eugenio,,,DE LIMA SALAS,
Quanguo,,,CHEN,
Hailun,,,ZHU,
Francisco Javier,,,D'AGOSTINO CASADO,
Alessandro,,,BAZZONI,
Mingshan,,,WANG,
Liujun,,,HUO,
Mohamed,,,AL-KANI,"Mohamed Khalifa Abderrahim Shaqaqi AL-KANI , Mohammed AL-KANI , Muhammad Omar AL-KANI "
Igor Valerievich,,,LAVRENKOV,
Mikhail Sergeyevich,,,POTEPKIN,
Andrei Sergeevich,,,MANDEL,
Reza,,,VAZIRI,
Hamidreza,,,YAHYA ZADEH,"Hamidreza YAHYAZADEH , Hamid Reza YAHYAZADEH "
Alireza,,,RAHNAVARD,
Mohsen,,,GOHARDEHI,
Ali,,,DANAEI KENARSARI,
Manal,,,AL-ASSAD,"Manal AL-AHMAD , Manal JAADAN , Manal AL-AKHRAZ "
Samer,,,AL-DANA,
Ghassan Ali,,,BILAL,Ghassan BELAL 
Bushra,,,AL-ASSAD,Bushra SHAWKAT 
Rania,,,ALDABBAS,"Rania Raslan AL DABBAS , Rania Raslan DABAS , Rania Raslan DABBAS , Rania Raslan AL DABAS "
Ali Muhammad,,,HAMSHO,"Ali Mohamad HAMCHO , Ali Mohammed HAMSHOU , Ali HAMCHO "
Amr Mohamed,,,HAMSHO,"Amre Mohamad HAMCHO , Amrou Mohammed HAMSHOU , Amrou Mohammed HAMSHO , Amre HAMCHO "
Asma,,,AL-ASSAD,"Asma AKHRAS , Asma AL-AKHRAS , Emma AKHRAS , Asmaa AL-ASSAD , Asma FAWAZ AL-AKHRAS "
Ahmad Sabir Mohammed,,,HAMSHO,"Ahmad Saber Mohamad HAMCHO , Ahmad Saber HAMCHO , Ahmed Saber Mohammed HAMSHOU "
Nazir Ahmad Mohammed,,,JAMALEDDINE,"Mohammed Nazer JAMAL EDDIN , Natheer Ahmed Mohammed JAMAL EDDINE , Nathier Ahmed Mohammed JAMAL EDDINE "
Adel Anwar,,,AL-OLABI,"'Adel Anwar AL-'ULABI , Adel Anouar EL-OULABI , Adil Anwar AL-OLABI "
Ricardo Jose,,,MORON HERNANDEZ,
Santiago Jose,,,MORON HERNANDEZ,
Nader,,,KALAI,"Nader QALEI , Nader KALEI , Nader Mohammed Wajieh KALAI , Nader Mohamad KALAI , Nadir AL KALAI , Nader QALAI "
Khaled,,,AL-ZUBAIDI,"Khalid ZUBEDI , Mohammed Khaled ZUBAIDI , Mohammed Khaled Bassam AL-ZUBAIDI , Khaled Bassam AL-ZUBAIDI "
Bi Sidi,,,SOULEYMANE,"Souleymane BI SIDI , Bi Sidi SOULEMAN , Bi Sidi SOULEMANE , Sidiki Abass SOULIMANE ,  Sidiki , Sidiki ABBAS , Sidiki ABASS , Abbas SIDIKI "
Amjad,,,SAZGAR,
Majid,,,AGHA'I,Majid AGHAEI 
Abiola Ayorinde,,,KAYODE,
Nnamdi Orson,,,BENSON,
Felix Osilama,,,OKPOH,
Alex Afolabi,,,OGUNSHAKIN,
Micheal,,,OLORUNYOMI,
Richard Izuchukwu,,,UZUH,
Joaquin,,,LEAL JIMENEZ,
Veronica,,,ESPARZA GARCIA,
Olga Maria,,,ZEPEDA ESPARZA,
Habil,,,DARVISH,
Abdolreza,,,RAHMANI FAZLI,"Abdol-Reza RAHMANI FAZLI , Abd al-Reza RAHMANI FAZLI , Abdolreza RAHMANI-FAZLI "
Hassan,,,SHAHVARPOUR NAJAFABADI,Hassan SHAHVARPOUR 
Mohammad,,,ALI NOORINAJAD,
Hamidraza,,,ASHRAQ,
Yahya,,,MAHMOODZADEH,
Mohsen,,,FATHI ZADEH,
Ayoub,,,SOLEIMANI,
Hossein,,,ASHTARI FARD,Hossein AHSTARI 
Julio Cesar,,,AVILES CASTILLO,
Amir,,,DIANAT,"Ameer Abdulazeez Jaafar ALMTHAJE , Amir DIANET , Amir AL-TAA'EI , Abu MUSHTAQ , Amir Abdulaziz JAFAR , Amir Abdolaziz DIANAT , Amir DIYANAT , Amir 'Abd-al-'Aziz Ja'far AL-MUTAHAJI "
Hasan,,,AL-SHABAN,Hasan Suliman ALSHABAN 
Amir Muhammad Sa'id Abdal-Rahman,,,AL-MAWLA," Hajii Abdallah , Amir Muhammad Sa'id 'Abd-al-Rahman Muhammad AL-MULA , Muhammad Sa'id 'Abd-al-Rahman AL-MAWLA ,  Abdullah Qardash ,  Abu-'Abdullah Qardash ,  Abu-'Umar al-Turkmani , 'Abdul Amir Muhammad Sa'id SALBI ,  Hajji Abdullah al-Afari ,  al-Hajj Abdullah Qardash ,  Abu Ibrahim al-Hashimi al-Qurashi "
Jose Jorge,,,MOJICA MEJIA,
Nikolay Nikolayevich,,,TRUSHCHALOV,"Mykola Mykolayovych TRUSHCHALOV , Nikolaj Nikolaevich TRUSHHALOV , Nicholas TRUSCHALOV , Nikolay TRUSHCHALOV , Nicholas TRUSHCHALOV "
Denis Valiullovich,,,GARIYEV,"Denis GARIYEV , Denis GARIEV "
Stanislav Anatolyevich,,,VOROBYEV,"Vorobyov Stanislav ANATOLYEVICH , Stanislav VOROBYOV , Stanislav VOROBEV "
Mashallah,,,BAKHTIARI,Mashaallah BAKHTIARI 
Mehdi,,,GHASEMZADEH,Amir AZIZPUR 
Mohammad,,,JALAL MAAB,Mohammad JALALMAAB 
Masoud,,,SHOUSHTARIPOUSTI,"Mas'ud SHUSHTARI , Masoud SHUSHTARI "
Muhammad,,,AL-GHORAYFI,"Mohammad Jasim Mohammadsadeq ALADNANI , Seyed Mohammad ADNANI , Muhammad AL-ADNANI "
Alireza,,,FADAKAR,Ali Reza FEDAKAR 
Hassan,,,PELARAK,"Hassan POLARAK ,  JA'FARI  Hasan "
Sayyed Yaser,,,MUSAVIR,"Sayyed Sai'd AMINPUR , Sayyed Sa'id MUSAVI , Seyed Ahmad Shid MOUSAVI "
Ali Hussein Falih,,,AL-MANSOORI,"'Ali Husayn Falih AL-MANSURI ,  ABU-REZVAN ,  REZVAN  Seyyed ,  REZWAN  Seyyed "
Mohammed Saeed Odhafa,,,AL BEHADILI,"Muhammad Said ADHAFAH ,  SAEED  Mohammed , Mohammed Saeed Othafa ALBEHADILI , Muhammad Sa'id 'Adhafah AL-BAHADILI "
Shaykh 'Adnan,,,AL-HAMIDAWI," ABU-'AMMAR , Adnan Younus Jasim AL HAMEEDAWI "
Ali Farhan,,,ASADI,
Sayyed Reza,,,MUSAVIFAR,Seyed Reza MOUSAVIFAR 
Vali,,,GHOLIZADEH,"Mohammad Hosein SA'IDI , Vali QOLIZADEH "
Hasan,,,SABURINEZHAD,"Ali SABURINEJAD ,  Engineer Morteza , Hasan Saburi NAZHAD , Ali SABURINEZHAD ,  SABURI  Hasan ,  MURTADA  Muhandis "
Reza Ebadzadeh,,,SEMNANI,"Reza EBADZADEH , Reza EBAD ZADEH "
Hossein,,,TAVAKKOLI,
Mohammad Hassan,,,TOULAI,"Mohammad Hasan TAVALLAEI , Mohammadhassan TOULAI "
Ali Abdullah,,,AYOUB,
Liz Paola,,,DOLDAN GONZALEZ,Liz Paola Florinda DOLDAN GONZALEZ 
Ali Hassan,,,KHALIL,
Ahmad,,,AL-HAMIDAWI,"Ahmad Muhsin Faraj AL-HAMIDAWI , Ahmed Kadhim Raheem AL-SAEDI , Ahmad Kazim Rahim AL-SA'IDI ,  HUSAYN  Abu "
Owen,,,NCUBE,
Juan Carlos,,,ORTEGA MURILLO,
Ivan Adolfo,,,ACOSTA MONTALVAN,
Abbas Ali,,,KADKHODAEI,"Abbas Ali KADKHODAEE , Abbas Ali KADKHODAEI ELYADERANI , Abbasali KADKHODAEI , Abbas Ali KADKHODAI , Abbas Ali KADKHODA'I "
Siamak,,,RAHPEYK,"Siyamak RAH-PEYK , Siamak RAHPIEK , Siyamak RAHPEYK "
Mohammad Hasan,,,SADEGHI MOGHADAM,"Mohammad Hassan SADEGHI MOGHADAM , Mohammad Hassan SADEQI-MOQADAM , Mohammad Hasan SADEQI-MOQADDAM , Mohammad Hasan SADEGHI MOGHADDAM , Mohammad SADEGHI MOHAMMAD "
Mohammad,,,YAZDI,
Ahmad,,,JANNATI,
Kassem Mohamad Ali,,,BAZZI,"Qassem Mohammed Ali BAZI , Qasim Mohammed Ali BAZZI , Qasim Muhammad Ali BAZZI "
Justo Pastor,,,URBINA,
Juan Antonio,,,VALLE VALLE,
Luis Alberto,,,PEREZ OLIVAS,
Kassem Mohamad,,,HIJAZI,"Kassem HIJAZI , Kassem Mohamed HIJAZI "
Khalil Ahmad,,,HIJAZI,
Zhiqing,,,WANG,Wang ZHIQING 
Ali,,,BAYANDARIAN,Ali BAYANDORIAN 
Ekateryna Borysovna,,,ALTABAEVA,"Ekaterina ALTABAEVA , Ekaterina Borisovna ALTABAEVA , Yekaterina Borisovna ALTABAEVA , Kateryna Borysivna ALTABAEVA "
Ekaterina Eduardovna,,,PYRKOVA,Kateryna Eduardivna PYRKOVA 
Lidia Aleksandrovna,,,BASOVA,Lidiya Oleksandrivna BASOVA 
Sergei Andreevich,,,DANILENKO,
Vladimir Vladimirovich,,,NEMTSEV,Volodymyr Volodymyrovych NEMTSEV 
Mikhail Vladimirovich,,,RAZVOZHAEV,Mykhailo Volodymyrovich RAZVOZHAEV 
Yuri Mikhailovich,,,GOTSANYUK,"Iurii Mykhailovych HOTSANIUK , Jury Mikhailovich GOTSANYUK , Jurij Mikhailovich GOTSANIUK "
Ali Akbar,,,SALEHI,
Ali,,,SHAMKHANI,
Adolfo Ramon,,,SUPERLANO,
Franklyn Leonardo,,,DUARTE,
Negal Manuel,,,MORALES LLOVERA,
Conrado Antonio,,,PEREZ LINARES,
Jose Dionisio,,,BRITO RODRIGUEZ,
Luis Eduardo,,,PARRA RIVERO,
Jose Gregorio,,,NORIEGA FIGUEROA,
Nourddin Milood M,,,MUSBAH,Nour Addin Meloud MOHAMED 
Musbah Mohamad M,,,WADI,Mosbah Mohamed WADY 
Faysal,,,AL-WADI,"Faisal Mohamed M WADI , Faisl Mohamed WADY "
Jiadong,,,LI," blackjack1987 ,  khaleesi "
Yinyin,,,TIAN," tianyinyin0404 ,  snowsjohn "
Patrick,,,ECOBU,Patrick MUKISA 
Dorah,,,MIREMBE,
Wilson Masalu,,,MUSENE,Wilson Musalu MUSENE 
Moses,,,MUKIIBI,
Taban Deng,,,GAI,
Alexander Nikolaevich,,,GANOV,Aleksandr Nikolaevich GANOV 
Tony,,,SAAB,"Tony Butrus SA'B , Tony Boutros SA'B "
Saleh,,,ASSI,"Saleh Ali ASSI , Salih 'Ali 'ASI , Salah ASSI , Salih ASSI "
Nazem Said,,,AHMAD,"Nazem Said AHMED , Nazim Sa'id AHMAD , Nazim AHMAD , Nizam Saed AHMAD , Nazem Ali AHMAD , Nazem Saeed AHMAD , Nazem Saied AHMED "
Kim,,,PHARA,
Kim,,,SOPHARY,
Ljubo,,,MARICIC,
Sreten,,,CVJETKOVIC,
Zelimir,,,PETROVIC,
Milan,,,SUBOTIC,
Nikola,,,BRKIC,
Zoran,,,PETROVIC,
Nebojsa,,,SARENAC,
Esad,,,KAPIDZIC,Eso KAPIDZIC 
Abdolhossein,,,KHEDRI,"Abdolhossein Heid KHEDRI , Abed Al Hsein Heid KHODRI , Abdul Hossein KHEDRI "
Aivars,,,LEMBERGS,
Marian,,,KOCNER,
Rao,,,ANWAR,"Rao Anwar AHMED , Anwar Ahmed KHAN , Rao Anwar Ahmed KHAN , Anwar Ahmed Rao KHAN "
Try,,,PHEAP,Thy PHEAP 
King,,,CHANDY,"Koeung CHANDY , Keung CHANDY , King CHAN DY "
Kun,,,KIM,
Angelo Kuot,,,GARANG,
John Top,,,LAM,John Top Lam TUT 
Michael,,,KUAJIEN,"Michael KUAJIAN , Michael KUAJIEN DUER MAYOK "
Malual Dhal,,,MUORWEL,Malual Dhal MUORWEL MALUAL 
Abud Stephen,,,THIONGKOL,Abud Stephen Thiong KOL 
Amisi,,,KASADHA," Kalume ,  Karume , Kasadha KASADA , Muzamil KASAADA , Muzamir KIRBAKI , Muzamir KIRIBAKI "
Kayiira,,,MUHAMMAD," Ogundipe , Kahira MUHAMADI , Kayiira MAHAMMAD , Muhammad Mzee KAYIRA ,  Kaida ,  Karida "
Elias,,,SEGUJJA,"Fezza SUGUJA ,  Mulalo ,  Feeza ,  Faiza "
Muhammed,,,LUMISA,"Muhamad LUMISA ,  LUMINSA ,  LUMWISA ,  KATO  L. ,  Mukade ,  Mukake "
Amigo,,,KIBIRIGE,"Amigo KIBIRGE , Simba AMIGO , Mzee AMIGO , Kibirige MUHAMMAND "
Seka Musa,,,BALUKU,"Seka BALUKU , Mzee KAJUJU ,  LUMU ,  LUMONDE ,  MAKUBA "
Khamis Farhan Al-Khanjar,,,AL-ISSAWI,"Khamis AL-KHANJAR , Khamis F Ali ALESSAWI , Khames Farhan Ali ALI , Khamees Farhan Ali ALI "
Rafael Antonio,,,ORTEGA MURILLO, ORTEGA  Payo 
Laith,,,AL-KHAZALI,"Layth Hadi Sayyid ALAZIREG , Layth AL-KHAZ'ALI , Layth Hadi Sa'id AL-KHAZALI , Layith Hadi Sa'id AL-KHAZ'ALI "
Qais,,,AL-KHAZALI,"Qais Hadi Sayed Hasan AL-KHAZALI , Qays Hadi Sayyid ALAZEREJ , Qays AL-KHAZALI , Qays AL-KHAZ'ALI , Qays Hadi Sa'id AL-KHAZALI "
Mohammad Javad,,,AZARI JAHROMI,
Hussein Falah,,,AL-LAMI,"Abu Zainab AL-LAMI , Hussein Faleh AZIZ "
Taotao,,,ZHANG,
Guangfu,,,ZHENG,
Rohullah,,,WAKIL,"Haji Sahib Rohullah WAKIL ,  Haji Rohullah "
Sayed Habib Ahmad,,,KHAN,"Syed Habib Ahmad KHAN ,  HABIB  Sayed "
Ahmet,,,BAYALTUN,
Ismail,,,BAYALTUN,
Longbao,,,ZHANG,
Songyan,,,JI,
Nikita Gennadievitch,,,KOVALEVSKIJ,"Nikita KOVALEVSKY , Nikita MURAVJOV "
Amadou,,,KOUFFA,"Hamadou KOUFFA , Hamadoun KOUFFA ,  BARRY  Amadou "
Nestor Neptali,,,BLANCO HURTADO,
Ali,,,ABDOLLAHI,Ali ABDOLLAHI ALIABADI 
Mohammad-Reza,,,ASHTIANI,Mohammed Reza Gharayi ASHTIANI 
Gholamreza,,,SOLEIMANI,"Gholam Reza SOLEIMANI , Gholam Reza SOLEYMANI , Gholamreza SOLEIMANY "
Mohsen,,,QOMI,
Mohsen,,,REZA'I,"Mohsen REZAEI , Mohsen REZAI "
Gholam Ali,,,RASHID,Gholamali RASHID 
Mohammad,,,BAGHERI,"Mohammad BAGHERI AFSHORDI , Mohammad Hossein BAQERI , Mohammed BAGHERI "
Mojtaba,,,KHAMENEI,Sayyed Mojtaba Hosseini KHAMENEI 
Gholamali,,,HADDAD-ADEL,"Gholam-Ali HADDADADEL , Gholam-Ali HADDAD ADEL , Gholamali HADDAD ADEL "
Vahid,,,HAGHANIAN,
Hossein,,,DEHGHAN,Hossein DEHGHAN POUDEH 
Ebrahim,,,RAISI,"Sayyid Ibrahim RA'EESI , Seyyid Ebrahim RAISOL-SADATI , Sayyid Ebrahim RAIS-O-SADAT "
Sheikh Yusuf,,,AASI,El Yusuf Abd al-Rida ASI 
Jawad,,,NUR-AL-DIN,"Jawad NOURREDINE , Shawqi Muhammad Shafiq NUR AL-DIN , Shawqi Jawad Mohamad Shafiq NUR AL-DIN "
Jin Yong,,,JON,"Chin-yo'ng CHO'N , Zin Yon ZYON "
Carlos Alberto,,,CALDERON CHIRINOS,
Jose Adelino,,,ORNELAS FERREIRA,"Jose Adelino ORNELLA FERREIRA , Jose Adelino ORNELLAS FERREIRA "
Pedro Miguel,,,CARRENO ESCOBAR,
Ashraf Seed Ahmed,,,AL-CARDINAL," HUSSEIN ALI  Ashraf , Ashiraf SEEDAHMED , Ashraf Said Ahmed HUSSEIN , Asharaf SEED AHMED , Ashraff SEED AHMED , Ashraf Seed Ahmed HUSSEIN ,  ALI  Ashraf Sayed , Ashraf Seedahmed Hussein ALI "
Kur,,,AJING ATER,"Kur AJING ATER KUR , Kur AJING "
Salim,,,ESSA,Salim Aziz ESSA 
Rajesh,,,GUPTA,"Rajesh Kumar GUPTA ,  GUPTA  Tony "
Ajay,,,GUPTA,Ajay Kumar GUPTA 
Ahmed,,,AG ALBACHAR,Intahmadou AG ALBACHAR 
Ramon Antonio,,,AVELLAN MEDAL,
Roberto Jose,,,LOPEZ GOMEZ,
Yu Hua,,,MAO,
Luqian,,,SHEN,
Yi,,,LI,
Bin,,,XU,
Lumberto Ignacio,,,CAMPBELL HOOKER,
Gustavo Adolfo,,,VIZCAINO GIL,
Juan Carlos,,,DUGARTE PADRON,
Goran,,,ANDRIC,
Muhammad Ali Sayid,,,AHMAD," Abu Turab al-Canadi , Mohammad Ali SAEED "
Faruq,,,AL-SURI,"Samir HIJAZI , Samir 'Abd al-Latif HIJAZI ,  AL-SHAMI  Abu Hammam ,  AL-SHAMI  Abu Humam ,  AL-'ASKARI  Abu Hammam "
Abu Abdullah ibn Umar,,,AL-BARNAWI, Ba Idrisa 
Muhammad,,,HAYDAR,"Muhammad Ali HAYDAR , Mohamad Ali HAIDAR ,  HAYDAR  Abu Ali "
Ali,,,KARAKI,"Muhammad 'Ali KARAKI ,  AL-FADL  Abu , Muhammad KARAKI "
Baha' Abu,,,AL-'ATA,"Baha'a Abu AL-ATA ,  ABU-SALIM , Baha' Salim Hasan Abu AL-'ATA "
Marwan,,,ISSA,Marwan 'ISSA 
Hajji,,,TAYSIR,"Mutaz Muaman Abed NAYIF , Mutaaz Numan 'Abd NAIF , Mu'taz Numan 'Abd Nayf AL-JABURI , Mutazz Numan Abid Nayif AL-JABURI "
Noor,,,WALI,"Mufti Noor WALI MEHSUD , Mufti Noor WALI ,  MANSOOR ASIM  Mufti Abu "
Hatib Hajan,,,SAWADJAAN,"Hatib Hajjan SAWADJAAN , Pah HAJAN "
Muhammad,,,AL-HINDI,Muhammad Sa'id Muhammad Yusuf AL-HINDI 
Akhilesh,,,KUMAR,
Mahmud,,,ASHTARI,"Mahmood ASHTARI , Mahmoud ASHTARI "
Shamsollah,,,ASADI,
Ali,,,QASIR,"'Ali QASIR , Ali KASSIR , Ali GHASSIR , Ali GHASIR , Naser GHASEMI "
Morteza,,,GHASEMI,"Morteza GHAEEMI , Murtadi QASIMI , Ghasemi Morteza ALI "
Mohammadreza Ali,,,AKBARI," AKBARI  Ali , Mohammadreza ALI-AKBARI , Mohammad Reza Abbas ALIAKBARI "
Anuj,,,BHARDWAJ,
Zafar Anis Ishteyaq,,,HUSSAIN,Zafar ANIS 
Alizaheer Mohammad,,,MEHDI,Ali Zaheer MEHDI 
Zaher,,,JABARIN,"Zahir Ali Mousa JABBAREEN , Zaher Ali Mousa JABARIN , Zahir JABARIN , Zahar JABARIN , Zaher Ali Mousa JIBRIL "
Muhammad Sa'id,,,IZADI,"Mohammad Sa'id IZADI , Ramazan IZADI ,  ABEDINI  Sa'id , Saeed IZADI "
David Nicolas,,,RUBIO GONZALEZ,
Luis Alberto,,,SAAB MORAN,
Amir Luis,,,SAAB MORAN,
Almaida Marani,,,SALVIN,
Muhammad Kamal,,,AL-AYY,Muhammad Kamal Salamah ALAY 
Fawaz Mahmud Ali,,,NASSER,Fawwaz NASIR 
Kamal Abdelrahman Aref,,,AWAD,Kamal AWAD 
Muhammad,,,SARUR,Muhammad Ibrahim SURUR 
Kale,,,KAYIHURA,Edward Kalekezi Kayihura MUHWEZI 
Soe,,,WIN,
Min Aung,,,HLAING,
Aung,,,AUNG,
Than,,,OO,
Song Hun,,,KIM,So'ng-hun KIM 
Chol Hak,,,KANG,Ch'o'l-hak KANG 
Myong Hyon,,,CHOE,Myo'ng-hyo'n CH'OE 
Kwang Sok,,,SIM,Kwang-so'k SIM 
Kwang Chol,,,PYON,Kwang-ch'o'l PYO'N 
Ali Ghadeer,,,MEHDI,Alighadeer Mohammad MEHDI 
Jawhar Majid,,,AL-DURI,
Sundus,,,ABD AL-GHAFAR,
Shaykh Abd-al-Majid,,,AL-ZINDANI,"Abdelmajid AL-ZINDANI , Shaykh 'Abd Al-Majid AL-ZINDANI "
Diego Fernando,,,MURILLO BEJARANO," ADOLFO PAZ ,  DON BERNA "
Luciano,,,MARIN ARANGO," MARQUES  Ivan ,  MARQUEZ  Ivan "
Salvatore,,,MANCUSO GOMEZ,Santander LOZADA 
Ramon Maria,,,ISAZA ARANGO,
Sor Teresa,,,GOMEZ ALVAREZ, LA NEGRA 
Hernan,,,GIRALDO SERNA,
Ivan Roberto,,,DUQUE GAVIRIA, ERNESTO BAEZ 
Luis Eduardo,,,CIFUENTES GALINDO, EL AGUILA 
Henry,,,CASTELLANOS GARZON," ROMANA  Edison ,  ROMANA "
Jose Vicente,,,CASTANO GIL,
Carlos,,,CASTANO GIL,
Hector German,,,BUITRAGO PARADA, MARTIN LLANOS 
Edgar Fernando,,,BLANCO PUERTA,
Nikita Vladimirovich,,,NAGORNY,
Inna VOLODYMYRIVNA,,,SHVENK,Inna Vladimirovna SHVENK 
Siarhei,,,TYTSYK,
Kirill Gennadievich,,,SELEZNEV,
Vadim Aleksandrovich,,,BABARIKIN,Vadzim Aliaksandravich BABARYKIN 
Petar,,,DJOKIC,Petar DOKIC 
Beyshen Kasymovich,,,ISAEV,
Aegli,,,TAMANI-PHELLA,Aegli TAMANI 
Dermot,,,O'REILLY,
Boris Gennadiyevich,,,VORONTSOV,
Artur Aleksandrovich,,,PETROV, PETROV  Arthur 
Ali Ahmad,,,FAIZULLAHI,"Ahmad Ali FEYZOLLAHI , Ali Ahmad FEYZOLLAHI , Ali Ahmad FEIZLOLLAHI "
Joseph Mantiel,,,WAJANG,"Joseph Monytuil WEJJANG ,  WEJANG  Joseph Manytuil , Nguen Monytuil WEJANG "
Gatluak Nyang,,,HOTH, NYANGA  Hoth Gatluak 
Vahid,,,SOLEIMANI,
Mohammad Moazzami,,,GOUDARZI,Mohammad Moazami GOUDARZI 
Delavar,,,ALGHASI-MEHR,"Delavar ALGHASI MEHR , Delavar ALGHASIMEHR , Delavar ALQASI MEHR "
Abdelrahim Hamdan,,,DAGALO,"Abdelrahim Hamdan DAGLO MUSA , Abdul Rahim Hamdan DAGLO MOUSA ,  DAGLO  Abdelraheem "
Gorica,,,DODIK,
Igor,,,DODIK,
Yang,,,FAN, CATHY 
Hamid Reza,,,JANGHORBANI,
Ernesto Leonel,,,RODRIGUEZ MEJIA,
Nadia Camila,,,TARDENCILLA RODRIGUEZ,
Eduardo,,,PARDO ESPINO,
Aleksei Borisovich,,,SUKHODOLOV,Alexey Borisovich SUKHODOLOV 
Dragan,,,STANKOVIC,
Anatoliy Vyacheslavovich,,,RAZINKIN,
Yuriy Timofeyevich,,,AVERYANOV,Yuriy Timofeevich AVERYANOV 
Batu Sergeyevich,,,KHASIKOV,Batu Sergeevich KHASIKOV 
Anton Olegovich,,,KOTYAKOV,
Magomedsalam Magomedaliyevich,,,MAGOMEDOV,
Kazbek Valeryevich,,,KOKOV,Kazbek Valerevich KOKOV 
VALENTINA LVOVNA,,,KAZAKOVA,Valentyna Lvivna KAZAKOVA 
Oleg Vasilyevich,,,MATYTSIN,Oleg Vasilevich MATYTSIN 
Igor Vladimirovich,,,BORISOV,
Viktor Borisovich,,,KHRISTENKO,
Sven Anders,,,OLSSON,
Vasiliy Aleksandrovich,,,NIKITIN,"Vasyl NIKITIN , Vasily NIKITIN "
Nicos,,,NICOLAOU,
Kirsan Nikolayevich,,,ILYUMZHINOV,Kirsan ILYUMZHINOV 
Mudalal,,,KHURI,"Mudalal Mtanyus KHURI , Mudallal KHOURY "
Jose Carlos,,,BARRAZA ACEVES, Luis 2525 
Maria de Jesus,,,ESPINOZA RODRIGUEZ,
Hector Librado,,,RIVERA SANDOVAL,
Maghomed Maghomedzakirovich,,,ABDURAKHMANOV," Abu Banat ,  Abu al Banat "
Joel Efren,,,RUELAS AVILA,
Leobardo,,,RUELAS AVILA,
Gilberto,,,RUELAS TORRES,
Torek,,,AGHA,"Sayed Mohammad HASHAN , Torak AGHA , Toriq AGHA , Toriq Agha SAYED "
Chong Chol,,,RI,Jong Chol RI 
Bo,,,PENG, PENG  Kevin 
Tatiana V,,,CHERNYKH,Tatiana CHERNYKH 
Vakhtang,,,KARAMYAN,Vakhtang KARAMIAN 
Eduard A,,,IOFFE,Eduard IOFFE 
Vladyslav Nykolayevych,,,DEYNEGO,Vladislav Nykolayevich DEYNEGO 
Sergey Gennadevich,,,TSYPLAKOV,Gennady TSYPLAKOV 
Peter,,,CHERIF,"Peter CHERAF ,  CHERAF  Abu Hamza "
Emilie,,,KONIG,
Sally-Anne Frances,,,JONES,"Sally Anne JONES , Sally JONES ,  AL-BRITANI  Umm Hussain , Sakinah HUSSAIN "
Aqsa,,,MAHMOOD,Umm LAYTH 
