FirstName,SecondName,ThirdName,LastName,IndividualAlias
COLANINNO Matteo,,,,Matteo Colaninno 
Matteo Brigandì,,,,
BRAGANTINI Matteo,,,,Matteo Bragantini 
Massimo Villone,,,,
Massimo Sertori,,,,
Lucio D'Ubaldo,,,,
BARANI Lucio,,,,Lucio Barani 
Luciano Pettinari,,,,
Luciano Modica,,,,
Luciano Magnalbò,,,,
Luciano Dussin,,,,
D'alfonso Luciano,,,,"לוצ'אנו ד'אלפונסו , Luciano D'Alfonso "
Luciano Ciocchetti,,,,
Luciano Cagnin,,,,
Luca Volontè,,,,
Luca Paolini,,,,
Luca Marconi,,,,
Luca Ceriscioli,,,,
LaDawn Jones,,,,
Luca Bellotti,,,,
Luana Zanella,,,,
Guglielmo Vaccaro,,,,Guglielmo Vaccaro 
Guglielmo Rositani,,,,
Guglielmo Picchi,,,,Guglielmo Picchi 
"Devegowda, Shri H.D.",,,,"Deve Gowda , ਔਚ. ਜੀ. ਦੇਵ ਗੌੜਾ , H. D. Deve Gowda , 德韋·高達 , Хараданахаллі Додде Деве Ґовда , എച്ച്.ഡി. ദേവഗൗഡ , هاراداناهالي دوده ديفي كودا , ಹೆಚ್. ಡಿ. ದೇವೇಗೌಡ , Х. Д. Деве Говда , ऍच॰ डी॰ देवगौड़ा , Haradanahalli Dodde Deve Gowda , এইচ. ডি. দেব গৌড়া , एच.डी. देवेगौडा , தேவ கௌடா , デーヴェー・ガウダ , హెచ్.డి.దేవెగౌడ , 德韦·高达 , एचडी देवगौडा , ઍચ૰ ડી૰ દેવગૌડ઼ા , एच्. डी. देवे गौडा , Haradanahalli Doddegowda Deve Gowda , اچ.دی. دوی گودا , ایچ ڈی دیوے گوڑا , Deve Govda , deve , ଏଚ.ଡି. ଦେବଗୌଡ଼ା , एच. डी. देवगौडा , H.D. Deve Gowda , H.D. 데베 고다 "
Fiorenzo Stolfi,,,,
Niall Ó Donnghaile,,,,
Luke 'Ming' Flanagan,,,,"Флэнаган  Люк , Luke Flanagan "
Dilip Kumar,,,,
Damien English,,,,"داميان إنجلش , Дамьен Инглиш , English  Damien "
Muhammetkaliy Abulgaziyev,,,,
David Stanton,,,,"ديفيد ستانتون , Stanton  David "
Olivia Mitchell,,,,"অলিভিয়া মিচেল , Оливия Митчелл , Mitchell  Olivia , أوليفيا ميتشيل "
Tom Hayes,,,,"Hayes  Tom , توم هايز "
Ivor Callely,,,,Ivor Mac Alaigh 
John Deasy,,,,Deasy  John 
Jack Wall,,,,"Wall  Jack , جاك وول , Джек Уолл "
Giorgio Mulé,,,,
Giorgio Merlo,,,,
Giorgio Mele,,,,
Giorgio Lattanzi,,,,
Giorgio Lainati,,,,Giorgio Lainati 
